,Name,Users
8961,793011,943
8962,793101,908
8963,794105,855
8964,794101,752
8965,793007,646
8966,793004,613
8967,east khasi hills,12907
8968,west garo hills,5289
8969,ribhoi,2869
8970,east jaintia hills,2051
8971,west jaintia hills,1023
8972,south garo hills,530
8973,south west garo hills,485
8974,west khasi hills,472
8975,north garo hills,445
8976,east garo hills,437
8977,793001,3410
8978,793002,1857
8979,793210,1430
8980,794001,1415
8981,793101,1379
8982,793011,1320
8983,794105,1233
8984,794101,1144
8985,793007,895
8986,793004,878
8987,east khasi hills,17543
8988,west garo hills,7529
8989,ribhoi,3889
8990,east jaintia hills,2886
8991,west jaintia hills,1465
8992,south garo hills,821
8993,south west garo hills,810
8994,north garo hills,737
8995,west khasi hills,730
8996,east garo hills,694
8997,793001,4591
8998,793002,2453
8999,794001,2006
9000,793210,1964
9001,793101,1851
9002,793011,1798
9003,794105,1690
9004,794101,1597
9005,794104,1242
9006,793007,1209
9007,east khasi hills,22845
9008,west garo hills,10445
9009,ribhoi,5207
9010,east jaintia hills,3735
9011,west jaintia hills,1861
9012,south west garo hills,1115
9013,north garo hills,1092
9014,east garo hills,1067
9015,south garo hills,1057
9016,west khasi hills,957
9017,793001,5880
9018,793002,3195
9019,794001,2785
9020,793101,2480
9021,793210,2438
9022,793011,2340
9023,794105,2307
9024,794101,2184
9025,794104,1774
9026,793004,1600
9027,east khasi hills,27937
9028,west garo hills,12932
9029,ribhoi,6543
9030,east jaintia hills,4643
9031,west jaintia hills,2276
9032,north garo hills,1482
9033,south west garo hills,1434
9034,east garo hills,1424
9035,south garo hills,1296
9036,west khasi hills,1191
9037,793001,7108
9038,793002,4005
9039,794001,3368
9040,793101,3084
9041,793210,2994
9042,793011,2947
9043,794105,2884
9044,794101,2675
9045,794104,2322
9046,793007,1970
9047,east khasi hills,33377
9048,west garo hills,15673
9049,ribhoi,7894
9050,east jaintia hills,5580
9051,west jaintia hills,2846
9052,north garo hills,1965
9053,south west garo hills,1902
9054,east garo hills,1855
9055,south garo hills,1640
9056,west khasi hills,1566
9057,793001,8597
9058,793002,4984
9059,794001,4119
9060,793101,3703
9061,793210,3445
9062,794105,3435
9063,793011,3426
9064,794101,3166
9065,794104,2826
9066,793007,2315
9067,east khasi hills,38761
9068,west garo hills,18509
9069,ribhoi,9007
9070,east jaintia hills,6371
9071,west jaintia hills,3346
9072,north garo hills,2403
9073,east garo hills,2313
9074,south west garo hills,2306
9075,south garo hills,2020
9076,west khasi hills,1838
9077,793001,10069
9078,793002,5866
9079,794001,4860
9080,793101,4254
9081,793011,4074
9082,794105,4031
9083,793210,3890
9084,794101,3736
9085,794104,3358
9086,793007,2747
9087,east khasi hills,43484
9088,west garo hills,21300
9089,ribhoi,10308
9090,east jaintia hills,7343
9091,west jaintia hills,3946
9092,north garo hills,2871
9093,east garo hills,2788
9094,south west garo hills,2757
9095,south garo hills,2434
9096,west khasi hills,2180
9097,793001,11243
9098,793002,6629
9099,794001,5473
9100,793101,4803
9101,794105,4678
9102,793011,4575
9103,793210,4376
9104,794101,4209
9105,794104,3989
9106,793007,3067
9107,east khasi hills,49251
9108,west garo hills,24124
9109,ribhoi,11689
9110,east jaintia hills,8368
9111,west jaintia hills,4530
9112,north garo hills,3311
9113,east garo hills,3251
9114,south west garo hills,3234
9115,south garo hills,2810
9116,west khasi hills,2522
9117,793001,12683
9118,793002,7456
9119,794001,6105
9120,793101,5466
9121,794105,5314
9122,793011,5248
9123,793210,4873
9124,794101,4682
9125,794104,4673
9126,793007,3524
9127,east khasi hills,57322
9128,west garo hills,29492
9129,ribhoi,13550
9130,east jaintia hills,9695
9131,west jaintia hills,5717
9132,north garo hills,4318
9133,south west garo hills,4266
9134,east garo hills,4132
9135,south garo hills,3590
9136,west khasi hills,3195
9137,793001,14552
9138,793002,8623
